"id","income","watercolor2018","watercolor2019","respirr2018","respirr2019","watercolor_1m","respirr_1m","cov_1","cov_2","cov_3","acc1_1","acc1_2","acc1_3","acc2_1","acc2_2","acc2_3","bid_1","bid_2","bid_3","vote_1","vote_2","vote_3","choice_1","choice_2","choice_3","choice"
1,162500,1.7407611206647,1.86614040650852,1.15704698861182,1.04330125518113,1.44326920709331,1,6,12,0,100,50,0,75,50,0,15,25,0,1,1,1,1,0,0,1
1,162500,1.7407611206647,1.86614040650852,1.15704698861182,1.04330125518113,1.44326920709331,1,12,6,0,100,50,0,100,50,0,35,15,0,1,1,1,1,0,0,1
1,162500,1.7407611206647,1.86614040650852,1.15704698861182,1.04330125518113,1.44326920709331,1,6,12,0,75,100,0,50,50,0,5,35,0,1,1,1,1,0,0,1
1,162500,1.7407611206647,1.86614040650852,1.15704698861182,1.04330125518113,1.44326920709331,1,6,12,0,100,50,0,100,50,0,25,15,0,1,1,1,1,0,0,1
2,62500,1.70581263948413,1.81571773486536,1.15608685296376,1.04253741529096,1.54202492826257,1,12,12,0,100,75,0,100,50,0,35,25,0,3,3,3,0,0,1,3
2,62500,1.70581263948413,1.81571773486536,1.15608685296376,1.04253741529096,1.54202492826257,1,6,6,0,75,100,0,50,75,0,15,35,0,3,3,3,0,0,1,3
2,62500,1.70581263948413,1.81571773486536,1.15608685296376,1.04253741529096,1.54202492826257,1,6,12,0,50,100,0,50,75,0,5,25,0,3,3,3,0,0,1,3
2,62500,1.70581263948413,1.81571773486536,1.15608685296376,1.04253741529096,1.54202492826257,1,12,6,0,75,100,0,50,50,0,35,15,0,3,3,3,0,0,1,3
3,42500,1.96481637252579,1.7469781073936,1.64263496706693,1.04632377697058,1.58538124221921,1,12,6,0,75,100,0,75,75,0,35,25,0,2,2,2,0,1,0,2
3,42500,1.96481637252579,1.7469781073936,1.64263496706693,1.04632377697058,1.58538124221921,1,6,6,0,100,50,0,50,50,0,25,15,0,1,1,1,1,0,0,1
3,42500,1.96481637252579,1.7469781073936,1.64263496706693,1.04632377697058,1.58538124221921,1,12,6,0,100,100,0,75,100,0,25,5,0,2,2,2,0,1,0,2
3,42500,1.96481637252579,1.7469781073936,1.64263496706693,1.04632377697058,1.58538124221921,1,12,12,0,100,75,0,50,75,0,15,5,0,2,2,2,0,1,0,2
4,62500,2.20572447082072,1.59480949932363,1.66503600362607,1.09376914542823,1.43004552030038,1,6,12,0,75,100,0,50,50,0,5,35,0,1,1,1,1,0,0,1
4,62500,2.20572447082072,1.59480949932363,1.66503600362607,1.09376914542823,1.43004552030038,1,6,12,0,100,50,0,100,50,0,25,15,0,3,3,3,0,0,1,3
4,62500,2.20572447082072,1.59480949932363,1.66503600362607,1.09376914542823,1.43004552030038,1,6,12,0,100,50,0,75,50,0,15,25,0,1,1,1,1,0,0,1
4,62500,2.20572447082072,1.59480949932363,1.66503600362607,1.09376914542823,1.43004552030038,1,12,6,0,100,50,0,100,50,0,35,15,0,3,3,3,0,0,1,3
5,42500,2.2205818550257,1.62209691499338,1.66620381266637,1.09522323038165,1.49217549533386,1,12,6,0,75,75,0,75,50,0,15,5,0,3,3,3,0,0,1,3
